季度,作品名称,上传p数,遮挡,时间,名称,作品ID,p数,开始时间（剪辑）,结束时间（剪辑）,开始时间,结束时间
202607,无职转生 第三季 ～到了异世界就拿出真本事～,2,,2026-08-30 09：00：00,【泛式∕录播】冷傲风纪黑长直＜短发波波头,501963,1,03:11:45.900,03:23:53.200,https://www.bilibili.com/video/BV1EZ426PEBY?t=11505.9,https://www.bilibili.com/video/BV1EZ426PEBY?t=12233.2
202607,无职转生 第三季 ～到了异世界就拿出真本事～,3,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,501963,1,03:00:15.900,03:06:48.200,https://www.bilibili.com/video/BV166bE6fEsr?t=10815.9,https://www.bilibili.com/video/BV166bE6fEsr?t=11208.2
202607,无用圣女的异世界美食之旅 凭借隐藏技能召唤露营车,1,,2026-07-19 09：00：00,【泛式∕录播】最享受下播番之人,636067,1,02:53:04.800,02:54:40.100,https://www.bilibili.com/video/BV1XhKT6dEFK?t=10384.8,https://www.bilibili.com/video/BV1XhKT6dEFK?t=10480.1
202607,无用圣女的异世界美食之旅 凭借隐藏技能召唤露营车,2,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,636067,1,04:21:00.000,04:24:03.600,https://www.bilibili.com/video/BV166bE6fEsr?t=15660.0,https://www.bilibili.com/video/BV166bE6fEsr?t=15843.6
202607,斗球女弹子,1,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,569671,1,00:35:05.400,00:38:26.300,https://www.bilibili.com/video/BV166bE6fEsr?t=2105.4,https://www.bilibili.com/video/BV166bE6fEsr?t=2306.3
202607,攻壳机动队 THE GHOST IN THE SHELL,1,,2026-06-23 09：00：00,【泛式∕录播】2026年7月新番茶话会,496276,1,00:43:19.500,00:55:49.000,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=2599.5,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=3349.0
202607,攻壳机动队 THE GHOST IN THE SHELL,2,,2026-07-12 20：48：28,【泛式∕录播】令人畏惧的26年7月新番,496276,1,01:57:47.000,02:07:26.500,https://www.bilibili.com/video/BV1rLNG6JE9G?t=7067.0,https://www.bilibili.com/video/BV1rLNG6JE9G?t=7646.5
202607,攻壳机动队 THE GHOST IN THE SHELL,3,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,496276,1,02:50:20.900,02:53:34.800,https://www.bilibili.com/video/BV166bE6fEsr?t=10220.9,https://www.bilibili.com/video/BV166bE6fEsr?t=10414.8
202607,擅长逃跑的殿下 第二季,1,,2026-08-02 09：00：00,【泛式∕录播】《全缺。》,517106,1,02:42:50.100,02:58:58.500,https://www.bilibili.com/video/BV1Yb3S6dEs9?t=9770.1,https://www.bilibili.com/video/BV1Yb3S6dEs9?t=10738.5
202607,擅长逃跑的殿下 第二季,2,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,517106,1,01:10:16.200,01:13:53.800,https://www.bilibili.com/video/BV166bE6fEsr?t=4216.2,https://www.bilibili.com/video/BV166bE6fEsr?t=4433.8
202607,拯救替身千金的是冷酷无情冰之王子的爱,1,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,638995,1,00:13:30.100,00:15:03.900,https://www.bilibili.com/video/BV166bE6fEsr?t=810.1,https://www.bilibili.com/video/BV166bE6fEsr?t=903.9
202607,才女的侍从 在满是高岭之花的贵族学校暗中照顾（毫无生活自理能力的）学院第一大小姐,1,,2026-08-09 12：05：16,【泛式∕录播】爱撒娇的人最好命,602733,1,03:11:30.000,03:24:21.000,https://www.bilibili.com/video/BV1bfuL6nEhn?t=11490.0,https://www.bilibili.com/video/BV1bfuL6nEhn?t=12261.0
202607,才女的侍从 在满是高岭之花的贵族学校暗中照顾（毫无生活自理能力的）学院第一大小姐,2,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,602733,1,04:14:40.000,04:17:47.300,https://www.bilibili.com/video/BV166bE6fEsr?t=15280.0,https://www.bilibili.com/video/BV166bE6fEsr?t=15467.3
202607,我家的弟弟们真是让您费心了,1,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,613438,1,01:24:16.000,01:27:30.500,https://www.bilibili.com/video/BV166bE6fEsr?t=5056.0,https://www.bilibili.com/video/BV166bE6fEsr?t=5250.5
202607,感谢对战。 ～大小姐才不玩格斗游戏～,1,,2026-06-23 09：00：00,【泛式∕录播】2026年7月新番茶话会,325767,1,03:23:35.400,03:32:05.600,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=12215.4,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=12725.6
202607,感谢对战。 ～大小姐才不玩格斗游戏～,2,,2026-07-12 20：48：28,【泛式∕录播】令人畏惧的26年7月新番,325767,1,03:02:35.700,03:17:57.300,https://www.bilibili.com/video/BV1rLNG6JE9G?t=10955.7,https://www.bilibili.com/video/BV1rLNG6JE9G?t=11877.3
202607,感谢对战。 ～大小姐才不玩格斗游戏～,3,,2026-07-19 09：00：00,【泛式∕录播】最享受下播番之人,325767,1,03:16:57.400,03:31:07.100,https://www.bilibili.com/video/BV1XhKT6dEFK?t=11817.4,https://www.bilibili.com/video/BV1XhKT6dEFK?t=12667.1
202607,感谢对战。 ～大小姐才不玩格斗游戏～,4,,2026-07-26 14：41：47,【泛式∕录播】炒完这盘就去死,325767,2,01:43:21.800,01:55:48.400,https://www.bilibili.com/video/BV1VS3j6PEic?t=6201.8&p=2,https://www.bilibili.com/video/BV1VS3j6PEic?t=6948.4&p=2
202607,感谢对战。 ～大小姐才不玩格斗游戏～,5,,2026-08-09 12：05：16,【泛式∕录播】爱撒娇的人最好命,325767,1,01:06:30.000,01:16:10.500,https://www.bilibili.com/video/BV1bfuL6nEhn?t=3990.0,https://www.bilibili.com/video/BV1bfuL6nEhn?t=4570.5
202607,感谢对战。 ～大小姐才不玩格斗游戏～,6,,2026-08-23 09：00：00,【泛式∕录播】认真看我妈的童年,325767,1,04:10:13.500,04:22:06.600,https://www.bilibili.com/video/BV14p8p6DEKC?t=15013.5,https://www.bilibili.com/video/BV14p8p6DEKC?t=15726.6
202607,感谢对战。 ～大小姐才不玩格斗游戏～,7,,2026-08-30 09：00：00,【泛式∕录播】冷傲风纪黑长直＜短发波波头,325767,1,03:28:00.000,03:39:02.100,https://www.bilibili.com/video/BV1EZ426PEBY?t=12480.0,https://www.bilibili.com/video/BV1EZ426PEBY?t=13142.1
202607,感谢对战。 ～大小姐才不玩格斗游戏～,8,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,325767,1,02:37:04.300,02:40:21.200,https://www.bilibili.com/video/BV166bE6fEsr?t=9424.3,https://www.bilibili.com/video/BV166bE6fEsr?t=9621.2
202607,恶女不才，请多关照 ～雏宫蝶鼠换身传～,1,,2026-06-23 09：00：00,【泛式∕录播】2026年7月新番茶话会,545008,1,01:05:56.400,01:19:02.900,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=3956.4,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=4742.9
202607,恶女不才，请多关照 ～雏宫蝶鼠换身传～,2,,2026-07-19 09：00：00,【泛式∕录播】最享受下播番之人,545008,1,02:43:19.600,02:53:19.000,https://www.bilibili.com/video/BV1XhKT6dEFK?t=9799.6,https://www.bilibili.com/video/BV1XhKT6dEFK?t=10399.0
202607,恶女不才，请多关照 ～雏宫蝶鼠换身传～,3,,2026-07-26 14：41：47,【泛式∕录播】炒完这盘就去死,545008,2,02:15:48.700,02:25:58.300,https://www.bilibili.com/video/BV1VS3j6PEic?t=8148.7&p=2,https://www.bilibili.com/video/BV1VS3j6PEic?t=8758.3&p=2
202607,恶女不才，请多关照 ～雏宫蝶鼠换身传～,4,,2026-08-30 09：00：00,【泛式∕录播】冷傲风纪黑长直＜短发波波头,545008,1,03:58:41.400,04:02:25.000,https://www.bilibili.com/video/BV1EZ426PEBY?t=14321.4,https://www.bilibili.com/video/BV1EZ426PEBY?t=14545.0
202607,恶女不才，请多关照 ～雏宫蝶鼠换身传～,5,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,545008,1,03:28:25.200,03:31:29.300,https://www.bilibili.com/video/BV166bE6fEsr?t=12505.2,https://www.bilibili.com/video/BV166bE6fEsr?t=12689.3
202607,恋爱游戏世界对路人角色很不友好 第二季,1,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,412144,1,03:10:10.300,03:13:42.800,https://www.bilibili.com/video/BV166bE6fEsr?t=11410.3,https://www.bilibili.com/video/BV166bE6fEsr?t=11622.8
202607,幼女战记 第二季,1,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,339515,1,04:39:55.000,04:41:26.300,https://www.bilibili.com/video/BV166bE6fEsr?t=16795.0,https://www.bilibili.com/video/BV166bE6fEsr?t=16886.3
202607,幼女战记 第二季,2,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,339515,1,04:44:26.400,04:45:58.900,https://www.bilibili.com/video/BV166bE6fEsr?t=17066.4,https://www.bilibili.com/video/BV166bE6fEsr?t=17158.9
202607,岩元前辈的推荐,1,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,621843,1,00:54:45.300,00:57:53.700,https://www.bilibili.com/video/BV166bE6fEsr?t=3285.3,https://www.bilibili.com/video/BV166bE6fEsr?t=3473.7
202607,尼古喵喵,1,遮挡,2026-06-23 09：00：00,【泛式∕录播】2026年7月新番茶话会,622206,1,00:37:08.500,00:39:20.800,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=2228.5,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=2360.8
202607,尼古喵喵,2,遮挡,2026-06-23 09：00：00,【泛式∕录播】2026年7月新番茶话会,622206,1,00:39:51.500,00:43:19.500,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=2391.5,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=2599.5
202607,尼古喵喵,3,,2026-07-05 09：00：00,【泛式∕录播】喜欢看这种残血带点虚弱的人类形象,622206,1,02:21:07.200,02:26:24.400,https://www.bilibili.com/video/BV1v6MN6fE3f?t=8467.2,https://www.bilibili.com/video/BV1v6MN6fE3f?t=8784.4
202607,尼古喵喵,4,,2026-07-12 20：48：28,【泛式∕录播】令人畏惧的26年7月新番,622206,1,03:18:04.100,03:18:33.500,https://www.bilibili.com/video/BV1rLNG6JE9G?t=11884.1,https://www.bilibili.com/video/BV1rLNG6JE9G?t=11913.5
202607,尼古喵喵,5,遮挡,2026-07-26 14：41：47,【泛式∕录播】炒完这盘就去死,622206,1,01:01:06.000,01:12:14.300,https://www.bilibili.com/video/BV1VS3j6PEic?t=3666.0,https://www.bilibili.com/video/BV1VS3j6PEic?t=4334.3
202607,尼古喵喵,6,,2026-07-26 14：41：47,【泛式∕录播】炒完这盘就去死,622206,1,01:13:14.300,01:17:21.500,https://www.bilibili.com/video/BV1VS3j6PEic?t=4394.3,https://www.bilibili.com/video/BV1VS3j6PEic?t=4641.5
202607,尼古喵喵,7,,2026-08-09 12：05：16,【泛式∕录播】爱撒娇的人最好命,622206,1,02:55:29.200,03:02:05.700,https://www.bilibili.com/video/BV1bfuL6nEhn?t=10529.2,https://www.bilibili.com/video/BV1bfuL6nEhn?t=10925.7
202607,尼古喵喵,8,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,622206,1,01:14:11.200,01:17:21.800,https://www.bilibili.com/video/BV166bE6fEsr?t=4451.2,https://www.bilibili.com/video/BV166bE6fEsr?t=4641.8
202607,少女怪兽焦糖味,1,,2026-06-23 09：00：00,【泛式∕录播】2026年7月新番茶话会,617123,1,02:34:08.200,02:39:03.400,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=9248.2,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=9543.4
202607,少女怪兽焦糖味,2,,2026-07-12 20：48：28,【泛式∕录播】令人畏惧的26年7月新番,617123,1,03:24:36.000,03:29:51.600,https://www.bilibili.com/video/BV1rLNG6JE9G?t=12276.0,https://www.bilibili.com/video/BV1rLNG6JE9G?t=12591.6
202607,少女怪兽焦糖味,3,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,617123,1,01:17:25.800,01:20:55.300,https://www.bilibili.com/video/BV166bE6fEsr?t=4645.8,https://www.bilibili.com/video/BV166bE6fEsr?t=4855.3
202607,女主角？圣女？不，我是杂役女仆（自豪）！,1,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,558064,1,03:31:35.000,03:34:51.800,https://www.bilibili.com/video/BV166bE6fEsr?t=12695.0,https://www.bilibili.com/video/BV166bE6fEsr?t=12891.8
202607,奇招百出的维多利亚,1,,2026-06-23 09：00：00,【泛式∕录播】2026年7月新番茶话会,584641,1,01:59:36.100,02:02:06.800,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=7176.1,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=7326.8
202607,奇招百出的维多利亚,2,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,584641,1,00:39:05.300,00:43:33.800,https://www.bilibili.com/video/BV166bE6fEsr?t=2345.3,https://www.bilibili.com/video/BV166bE6fEsr?t=2613.8
202607,天是红河岸,1,,2026-06-23 09：00：00,【泛式∕录播】2026年7月新番茶话会,627648,1,03:13:16.700,03:16:43.100,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=11596.7,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=11803.1
202607,天是红河岸,2,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,627648,1,04:24:10.000,04:27:22.400,https://www.bilibili.com/video/BV166bE6fEsr?t=15850.0,https://www.bilibili.com/video/BV166bE6fEsr?t=16042.4
202607,地狱模式～喜欢挑战特殊成就的玩家在废设定的异世界成为无双～第二季,1,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,638151,1,03:13:40.500,03:17:05.300,https://www.bilibili.com/video/BV166bE6fEsr?t=11620.5,https://www.bilibili.com/video/BV166bE6fEsr?t=11825.3
202607,在超市后门吸烟的二人,1,,2026-06-14 09：00：00,【泛式∕录播】但是梅莉真可爱啊,571784,1,01:01:59.900,01:12:10.700,https://www.bilibili.com/video/BV1BfJW6UEKM?t=3719.9,https://www.bilibili.com/video/BV1BfJW6UEKM?t=4330.7
202607,在超市后门吸烟的二人,2,,2026-06-23 09：00：00,【泛式∕录播】2026年7月新番茶话会,571784,1,00:12:11.300,00:37:16.500,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=731.3,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=2236.5
202607,在超市后门吸烟的二人,3,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,571784,1,03:34:55.000,03:41:18.200,https://www.bilibili.com/video/BV166bE6fEsr?t=12895.0,https://www.bilibili.com/video/BV166bE6fEsr?t=13278.2
202607,刃牙道 第2部分,1,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,638498,1,00:30:51.500,00:34:13.100,https://www.bilibili.com/video/BV166bE6fEsr?t=1851.5,https://www.bilibili.com/video/BV166bE6fEsr?t=2053.1
202607,再见菈菈,1,,2026-06-23 09：00：00,【泛式∕录播】2026年7月新番茶话会,495291,1,03:32:19.200,03:46:09.200,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=12739.2,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=13569.2
202607,再见菈菈,2,,2026-07-12 20：48：28,【泛式∕录播】令人畏惧的26年7月新番,495291,1,01:32:36.800,01:35:25.400,https://www.bilibili.com/video/BV1rLNG6JE9G?t=5556.8,https://www.bilibili.com/video/BV1rLNG6JE9G?t=5725.4
202607,再见菈菈,3,,2026-07-19 09：00：00,【泛式∕录播】最享受下播番之人,495291,1,01:05:13.000,01:15:32.500,https://www.bilibili.com/video/BV1XhKT6dEFK?t=3913.0,https://www.bilibili.com/video/BV1XhKT6dEFK?t=4532.5
202607,再见菈菈,4,,2026-07-26 14：41：47,【泛式∕录播】炒完这盘就去死,495291,2,00:00:49.400,00:01:59.200,https://www.bilibili.com/video/BV1VS3j6PEic?t=49.4&p=2,https://www.bilibili.com/video/BV1VS3j6PEic?t=119.2&p=2
202607,再见菈菈,5,,2026-07-26 14：41：47,【泛式∕录播】炒完这盘就去死,495291,2,01:12:18.600,01:43:21.800,https://www.bilibili.com/video/BV1VS3j6PEic?t=4338.6&p=2,https://www.bilibili.com/video/BV1VS3j6PEic?t=6201.8&p=2
202607,再见菈菈,6,,2026-08-02 09：00：00,【泛式∕录播】《全缺。》,495291,1,03:02:50.100,03:25:05.400,https://www.bilibili.com/video/BV1Yb3S6dEs9?t=10970.1,https://www.bilibili.com/video/BV1Yb3S6dEs9?t=12305.4
202607,再见菈菈,7,,2026-08-16 09：00：00,【泛式∕录播】却道天凉好个秋,495291,1,00:56:05.400,01:07:08.900,https://www.bilibili.com/video/BV1XWb16sEkb?t=3365.4,https://www.bilibili.com/video/BV1XWb16sEkb?t=4028.9
202607,再见菈菈,8,,2026-08-23 09：00：00,【泛式∕录播】认真看我妈的童年,495291,1,02:29:30.000,03:19:47.900,https://www.bilibili.com/video/BV14p8p6DEKC?t=8970.0,https://www.bilibili.com/video/BV14p8p6DEKC?t=11987.9
202607,再见菈菈,9,,2026-08-30 09：00：00,【泛式∕录播】冷傲风纪黑长直＜短发波波头,495291,1,00:57:21.000,01:00:17.500,https://www.bilibili.com/video/BV1EZ426PEBY?t=3441.0,https://www.bilibili.com/video/BV1EZ426PEBY?t=3617.5
202607,再见菈菈,10,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,495291,1,02:27:24.800,02:31:50.000,https://www.bilibili.com/video/BV166bE6fEsr?t=8844.8,https://www.bilibili.com/video/BV166bE6fEsr?t=9110.0
202607,令和妖神斑小姐,1,,2026-06-23 09：00：00,【泛式∕录播】2026年7月新番茶话会,614594,1,02:30:25.900,02:34:08.200,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=9025.9,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=9248.2
202607,令和妖神斑小姐,2,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,614594,1,03:48:05.400,03:51:16.300,https://www.bilibili.com/video/BV166bE6fEsr?t=13685.4,https://www.bilibili.com/video/BV166bE6fEsr?t=13876.3
202607,从后面来的神威先生,1,,2026-06-23 09：00：00,【泛式∕录播】2026年7月新番茶话会,627136,1,02:19:23.400,02:25:36.300,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=8363.4,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=8736.3
202607,从后面来的神威先生,2,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,627136,1,01:27:35.800,01:30:12.300,https://www.bilibili.com/video/BV166bE6fEsr?t=5255.8,https://www.bilibili.com/video/BV166bE6fEsr?t=5412.3
202607,从0位居民开始的边境领主大人,1,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,571895,1,03:58:20.000,04:01:19.700,https://www.bilibili.com/video/BV166bE6fEsr?t=14300.0,https://www.bilibili.com/video/BV166bE6fEsr?t=14479.7
202607,人造人009 涅墨西斯,1,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,571896,1,00:43:40.000,00:47:02.800,https://www.bilibili.com/video/BV166bE6fEsr?t=2620.0,https://www.bilibili.com/video/BV166bE6fEsr?t=2822.8
202607,二十世纪电气目录,1,,2026-06-23 09：00：00,【泛式∕录播】2026年7月新番茶话会,255209,1,01:19:02.900,01:33:13.200,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=4742.9,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=5593.2
202607,二十世纪电气目录,2,,2026-07-12 20：48：28,【泛式∕录播】令人畏惧的26年7月新番,255209,1,03:18:40.400,03:23:23.800,https://www.bilibili.com/video/BV1rLNG6JE9G?t=11920.4,https://www.bilibili.com/video/BV1rLNG6JE9G?t=12203.8
202607,二十世纪电气目录,3,,2026-07-19 09：00：00,【泛式∕录播】最享受下播番之人,255209,1,02:54:33.600,03:06:52.600,https://www.bilibili.com/video/BV1XhKT6dEFK?t=10473.6,https://www.bilibili.com/video/BV1XhKT6dEFK?t=11212.6
202607,二十世纪电气目录,4,,2026-07-26 14：41：47,【泛式∕录播】炒完这盘就去死,255209,2,00:56:39.600,01:12:18.600,https://www.bilibili.com/video/BV1VS3j6PEic?t=3399.6&p=2,https://www.bilibili.com/video/BV1VS3j6PEic?t=4338.6&p=2
202607,二十世纪电气目录,5,,2026-08-02 09：00：00,【泛式∕录播】《全缺。》,255209,1,03:30:30.000,03:38:38.200,https://www.bilibili.com/video/BV1Yb3S6dEs9?t=12630.0,https://www.bilibili.com/video/BV1Yb3S6dEs9?t=13118.2
202607,二十世纪电气目录,6,,2026-08-09 12：05：16,【泛式∕录播】爱撒娇的人最好命,255209,1,03:02:05.700,03:07:38.700,https://www.bilibili.com/video/BV1bfuL6nEhn?t=10925.7,https://www.bilibili.com/video/BV1bfuL6nEhn?t=11258.7
202607,二十世纪电气目录,7,,2026-08-16 09：00：00,【泛式∕录播】却道天凉好个秋,255209,1,02:22:17.000,02:50:24.800,https://www.bilibili.com/video/BV1XWb16sEkb?t=8537.0,https://www.bilibili.com/video/BV1XWb16sEkb?t=10224.8
202607,二十世纪电气目录,8,,2026-08-30 09：00：00,【泛式∕录播】冷傲风纪黑长直＜短发波波头,255209,1,03:57:44.400,03:58:41.400,https://www.bilibili.com/video/BV1EZ426PEBY?t=14264.4,https://www.bilibili.com/video/BV1EZ426PEBY?t=14321.4
202607,二十世纪电气目录,9,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,255209,1,02:00:22.200,02:15:41.000,https://www.bilibili.com/video/BV166bE6fEsr?t=7222.2,https://www.bilibili.com/video/BV166bE6fEsr?t=8141.0
202607,乡下大叔成为剑圣 第二季,1,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,565701,1,02:57:01.000,03:00:04.300,https://www.bilibili.com/video/BV166bE6fEsr?t=10621.0,https://www.bilibili.com/video/BV166bE6fEsr?t=10804.3
202607,世界最强的后卫 ～迷宫国的新人探索者～,1,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,583862,1,02:43:40.900,02:46:43.200,https://www.bilibili.com/video/BV166bE6fEsr?t=9820.9,https://www.bilibili.com/video/BV166bE6fEsr?t=10003.2
202607,与奔驰于透明之夜的你，谈一场看不见的恋爱。,1,,2026-06-23 09：00：00,【泛式∕录播】2026年7月新番茶话会,607340,1,02:59:11.100,03:08:33.700,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=10751.1,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=11313.7
202607,与奔驰于透明之夜的你，谈一场看不见的恋爱。,2,,2026-07-12 20：48：28,【泛式∕录播】令人畏惧的26年7月新番,607340,1,03:29:51.600,03:41:13.700,https://www.bilibili.com/video/BV1rLNG6JE9G?t=12591.6,https://www.bilibili.com/video/BV1rLNG6JE9G?t=13273.7
202607,与奔驰于透明之夜的你，谈一场看不见的恋爱。,3,,2026-07-19 09：00：00,【泛式∕录播】最享受下播番之人,607340,1,02:38:43.400,02:43:19.600,https://www.bilibili.com/video/BV1XhKT6dEFK?t=9523.4,https://www.bilibili.com/video/BV1XhKT6dEFK?t=9799.6
202607,与奔驰于透明之夜的你，谈一场看不见的恋爱。,4,,2026-08-09 12：05：16,【泛式∕录播】爱撒娇的人最好命,607340,1,02:25:13.900,02:37:48.000,https://www.bilibili.com/video/BV1bfuL6nEhn?t=8713.9,https://www.bilibili.com/video/BV1bfuL6nEhn?t=9468.0
202607,与奔驰于透明之夜的你，谈一场看不见的恋爱。,5,,2026-08-16 09：00：00,【泛式∕录播】却道天凉好个秋,607340,1,02:50:35.200,03:12:01.000,https://www.bilibili.com/video/BV1XWb16sEkb?t=10235.2,https://www.bilibili.com/video/BV1XWb16sEkb?t=11521.0
202607,与奔驰于透明之夜的你，谈一场看不见的恋爱。,6,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,607340,1,04:11:25.000,04:14:28.600,https://www.bilibili.com/video/BV166bE6fEsr?t=15085.0,https://www.bilibili.com/video/BV166bE6fEsr?t=15268.6
202607,与你相恋到生命尽头,1,,2026-06-23 09：00：00,【泛式∕录播】2026年7月新番茶话会,541285,1,01:40:55.200,01:48:13.000,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=6055.2,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=6493.0
202607,与你相恋到生命尽头,2,,2026-06-29 00：52：43,【泛式∕录播】别当兄弟了,541285,1,01:17:04.800,01:18:22.700,https://www.bilibili.com/video/BV1tUTK6JEKi?t=4624.8,https://www.bilibili.com/video/BV1tUTK6JEKi?t=4702.7
202607,与你相恋到生命尽头,3,,2026-07-19 09：00：00,【泛式∕录播】最享受下播番之人,541285,1,03:31:37.700,03:31:45.200,https://www.bilibili.com/video/BV1XhKT6dEFK?t=12697.7,https://www.bilibili.com/video/BV1XhKT6dEFK?t=12705.2
202607,与你相恋到生命尽头,4,,2026-07-26 14：41：47,【泛式∕录播】炒完这盘就去死,541285,2,01:55:48.400,02:06:55.100,https://www.bilibili.com/video/BV1VS3j6PEic?t=6948.4&p=2,https://www.bilibili.com/video/BV1VS3j6PEic?t=7615.1&p=2
202607,与你相恋到生命尽头,5,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,541285,1,02:32:25.900,02:37:04.300,https://www.bilibili.com/video/BV166bE6fEsr?t=9145.9,https://www.bilibili.com/video/BV166bE6fEsr?t=9424.3
202607,不虐待我的继母与继姐,1,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,572613,1,04:27:20.600,04:30:21.600,https://www.bilibili.com/video/BV166bE6fEsr?t=16040.6,https://www.bilibili.com/video/BV166bE6fEsr?t=16221.6
202607,『你们先走我断后』，于是10年后我成为了传说,1,,2026-09-06 09：00：00,【泛式∕录播】2026年7月新番OP∕ED鉴赏会,590786,1,03:55:15.000,03:58:19.200,https://www.bilibili.com/video/BV166bE6fEsr?t=14115.0,https://www.bilibili.com/video/BV166bE6fEsr?t=14299.2
202607,THE WORLD IS DANCING 世界在起舞,1,,2026-06-23 09：00：00,【泛式∕录播】2026年7月新番茶话会,622633,1,01:38:39.000,01:40:55.200,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=5919.0,https://www.bilibili.com/video/BV1Kk7u67EMZ?t=6055.2
202607,THE WORLD IS DANCING 世界在起舞,2,遮挡,2026-07-12 20：48：28,【泛式∕录播】令人畏惧的26年7月新番,622633,1,02:08:45.700,02:21:49.000,https://www.bilibili.com/video/BV1rLNG6JE9G?t=7725.7,https://www.bilibili.com/video/BV1rLNG6JE9G?t=8509.0
202607,THE WORLD IS DANCING 世界在起舞,3,,2026-07-26 14：41：47,【泛式∕录播】炒完这盘就去死,622633,2,00:13:00.700,00:17:47.300,https://www.bilibili.com/video/BV1VS3j6PEic?t=780.7&p=2,https://www.bilibili.com/video/BV1VS3j6PEic?t=1067.3&p=2
